Time_1,user,likes_count,url,twitterID,howOld
0000/01/01 16:17:02,nomper,0,https://qiita.com/nomper/items/45e47434f746d852acd4,nomper,5
0000/01/02 20:57:22,tomoyakamimura,5,https://qiita.com/tomoyakamimura/items/3d6c3c628dc05ba21881,,1
0000/01/03 15:21:10,motorcontrolman,47,https://qiita.com/motorcontrolman/items/272f2514b933a493e95e,motorcontrolman,1
0000/01/03 23:43:04,stozaki,5,https://qiita.com/stozaki/items/bad07d0e6e1c571dfc47,,2
0000/01/04 07:00:03,stktu,6,https://qiita.com/stktu/items/51c144401ad8a284e1b1,stktu_KU,2
0000/01/04 13:04:30,UT_MATLAB_Amb,5,https://qiita.com/UT_MATLAB_Amb/items/3b41d3582b1ec86c6fbb,UT_MATLAB_Amb,1
0000/01/04 23:23:47,eigs,22,https://qiita.com/eigs/items/06ea997ec0472ab88371,michio_MWJ,1
0000/01/05 11:29:30,tommyecguitar,35,https://qiita.com/tommyecguitar/items/d65082968466c18e5bab,,2
0000/01/06 05:47:24,eigs,68,https://qiita.com/eigs/items/c6efb11c145e4e0e8577,michio_MWJ,2
0000/01/06 13:59:13,nomper,1,https://qiita.com/nomper/items/d8684a8fcdd620f4acdb,nomper,1
0000/01/06 21:50:44,tommyecguitar,14,https://qiita.com/tommyecguitar/items/09dcebde31122990a899,,2
0000/01/07 12:50:11,UT_MATLAB_Amb,4,https://qiita.com/UT_MATLAB_Amb/items/217c156f8d6d0cd6727d,UT_MATLAB_Amb,1
0000/01/08 02:08:08,larking95,14,https://qiita.com/larking95/items/70d24ac9a78d56d53dff,larking95,2
0000/01/08 12:40:31,sshojiro,3,https://qiita.com/sshojiro/items/63c41a4fee39c4cd369c,sshojiro_jp,6
0000/01/09 05:35:28,katsu1110,24,https://qiita.com/katsu1110/items/10ae4a62cfd37e37cd0b,kk1110tt,5
0000/01/09 13:21:09,uqiitam,7,https://qiita.com/uqiitam/items/7cc30e8e2f6aa63b3704,,2
0000/01/09 15:26:47,Ushiron55,4,https://qiita.com/Ushiron55/items/5f8cd1aaa734e2e5dcf4,,2
0000/01/09 21:12:23,Monzo_N,4,https://qiita.com/Monzo_N/items/a2204381fe30869fc9ed,,1
0000/01/11 15:19:46,tommyecguitar,15,https://qiita.com/tommyecguitar/items/51d6466bc80829fe4e4d,,2
